,Reviews,Replies
0,Good service especially with the large group we had (13 people). Food was delicious and had generous portions. We are outside on the patio and the ambience looked very comfy despite the windy conditions we had.,1. [food]=Food was delicious and had generous portions. 2. [service]=Good service especially with the large group we had (13 people). 3. [ambience]=We are outside on the patio and the ambience looked very comfy despite the windy conditions we had.
1,"I had time to kill and wasnt all that hungry but decided to stop by and have a snack. I only had the Lil'Peckers (chicken strips), funny name btw. Its my second time here but this time by myself so I got to talk Shehraaz for a bit as he took my order. Great guy and with great customer service. I walked in several minutes before 2pm on a Friday and sure enough two parties between 4 and 6 people came in to order and they sat outside. I sat inside but its nice to see outdoor seating since Im from SF. As someone who's worked in a very similar restaurant, it brought back some good memories.","1. [food]=I only had the Lil'Peckers (chicken strips), funny name btw."
2,"Always wanted to go in this place and finally did. They had so much to choose from and not just regular sandwiches.  I am so glad we went in. our server, Shellie was great. Very attentive and friendly.  Tje atmosphere is quirky and it makes you smile. well worth trying it out. will be back!!! plus bathrooms are very clean and smell good. love the funny says on the back of the door.",1. [food]=They had so much to choose from and not just regular sandwiches.
3,"This place is hands down a 5 star as everything I have had food wise is amazing. From the Nashville Benedict to the melts they have. It's amazing and flavorful. Been here twice and will go back some more to try other things.   BUT the last time I was here. The waitress was a being animated a lot with her personality. Which isn't a bad thing but also not a good thing at certain points. When she was taking my order, I said the Nashville melt, and the breakfast at the time had a Nashville Benedict and the waitress thought I meant that and then when I corrected myself and said the firebird she was dancing along with the music and completely didn't hear me and when she was done taking my dads order I mentioned once again I wanted the firebird. She was oh and that too! When I tried to say no I only want firebird she already walked away. When she eventually brought out all the food and my dad was confused why there was another order and I him just to leave it and I explained to him outside that she was to busy being animated when I corrected myself and she didn't even hear me.   Other than that experience, place is really good and I suggest to give it a try",1. [food]=everything I have had food wise is amazing. From the Nashville Benedict to the melts they have. It's amazing and flavorful.
4,"Hmm, definitely very eclectic vibe. Decor and menu go with the vibe.  I was actually really excited to try this place but was disappointed... maybe the kitchen was having an off day?  Ordered:  1) Mac and Cheese: 3/5 large portion and the taste was OK. Better than the burger 2) Angus Burger: 2/5 It was dry and nothing exciting. For the price you would think it would come with fries, but it was just the burger.  Eventually one day, I will give it a try again. Hopefully, they were having an off day. Or maybe I didn't order the right items.","1. [Food]=Mac and Cheese: 3/5 large portion and the taste was OK. Better than the burger 2. [Food]=Angus Burger: 2/5 It was dry and nothing exciting. For the price you would think it would come with fries, but it was just the burger."
5,"Stopped in on a Friday evening & chose to sit inside. It wasn't too busy. service was ok (waitress could've been friendlier)  Ordered the truffle Mac & cheese, patty melt & beef poutine (steak fries - finally!) All were good. The mermaid Tea was great.  Picked up a few cookies on the way out (3 for $10) - they were great.  We're likely to go back to sample other menu items.","1. [food]=Ordered the truffle Mac & cheese, patty melt & beef poutine (steak fries - finally!) All were good. 2. [drink]=The mermaid Tea was great. 3. [dessert]=Picked up a few cookies on the way out (3 for $10) - they were great."
6,"There's nothing funny about this place. It's incredible how much they've improved. I was at their original place years ago when they had a tiny space in the corner of a divey bar. Now THAT was weird. It was awkward to bring a 3-year-old with drunks hanging out at the bar. However, the food was delicious!!!  But now... WOW! This new location is so much better! Bigger, cleaner, and more family-friendly!!  The four of us had dinner here on a Tuesday night. The food is still excellent!   It took a lot of thinking to choose from their menu. Everything looked so good! But I finally decided on the Truffle Shuffle. The burger was perfectly cooked on a  brioche bun. The combination of truffle, sauce, and gooey swiss cheese made my tummy and mouth happy.    My daughter had the Mac  & Cheese. The portion was HUGE!! Too bad they didn't have kid-size, but I was glad to bring some leftovers home. I had it for lunch the next day! My stressful day improved because of this dish. My daughter loved it too!   The four of us shared the Stinky Fries. Garlic and parmesan cheese together?? Oh heck yeah! It was a match made in heaven. I would order this again.   Everyone enjoyed the meal. The waitress was friendly and efficient. She was really sweet to my daughter who had to wait for her Mac & Cheese while everyone else had their food already. Maybe she felt bad because she put in her order late. It arrived quick, so I wouldn't have known she put it in late if she hadn't said anything.   Congratulations to Funny Farm for their new and improved location!!!","1. [Food quality]=However, the food was delicious!!! The food is still excellent! 2. [Truffle Shuffle burger]=The burger was perfectly cooked on a brioche bun. The combination of truffle, sauce, and gooey swiss cheese made my tummy and mouth happy. 3. [Mac & Cheese]=My daughter had the Mac & Cheese. The portion was HUGE!! Too bad they didn't have kid-size, but I was glad to bring some leftovers home. I had it for lunch the next day! My stressful day improved because of this dish. My daughter loved it too! 4. [Stinky Fries]=The four of us shared the Stinky Fries. Garlic and parmesan cheese together?? Oh heck yeah! It was a match made in heaven. I would order this again."
7,Ellie was our our server and made our experience great. The stroganoff special was yummy as were the drinks. Dog friendly patio.,1. Food=The stroganoff special was yummy as were the drinks. 2. Service=Ellie was our our server and made our experience great. 3. Ambiance=Dog friendly patio.
8,"Such a funky, fun, cool spot to grab a bite!  I came here on a whim as I was in the area and wanted to grab a bite in between meetings. It's tucked into the corner spot in between Wells Fargo & Pizza My Heart in a small plaza with ample parking spots.  When you come in, the door rattles which kinda surprised me but I upon entering and seeing the vibe of Funny Farm, it clicked (or clucked lol). Seating is a mish/mash of everything from booths, your standard kitchen chairs, and even love seats! The ceiling had slinkys \","1. [food]=No relevant information found. 2. [location]=It's tucked into the corner spot in between Wells Fargo & Pizza My Heart in a small plaza with ample parking spots. 3. [atmosphere]=Such a funky, fun, cool spot to grab a bite! When you come in, the door rattles which kinda surprised me but I upon entering and seeing the vibe of Funny Farm, it clicked (or clucked lol). Seating is a mish/mash of everything from booths, your standard kitchen chairs, and even love seats! The ceiling had slinkys."
9,Had brunch at the Funny Farm. It's gonna be my new weekend breakfast favorite. It is an American cuisine restaurant. This restaurant has a laid back fun vibe to it. Family place. The food is filling and tastes great. Their dishes have a creative twists on the classics. The tator tots are done perfectly! The prices are similar to a little better than other local breakfast places. The service is excellent and our server Maureen was delightful and took care of all our needs. Clean setting. Indoor and outdoor seating.  Definitely check this place out and support a new local business,1. [food]=The food is filling and tastes great. Their dishes have a creative twists on the classics. The tator tots are done perfectly! 2. [cuisine]=It is an American cuisine restaurant. 3. [prices]=The prices are similar to a little better than other local breakfast places. 4. [service]=The service is excellent and our server Maureen was delightful and took care of all our needs. 5. [ambience]=This restaurant has a laid back fun vibe to it. Family place. Clean setting. Indoor and outdoor seating.
