,Reviews,Relevant Content,Replies,Comments,Summary
0,"Coming here to get pho has become a routine for my coworker and I! The location is great being in the heart of fidi easy to access, perfect for a lunch break.   The food - ive only had the pho (rare beef) and the Mongolian beef here but both dishes have been 10/10. I've enjoyed them so much it's been hard for me to stray away and try something new! The bowls of pho are huge and come standard with veggies + lemon to add into the soup as you'd like (and of course sriracha and hoisin). The broth is flavorful and the meat is pretty good as well! Loaded with noodles too! I've found it hard to find good pho in fidi so I'm glad I found this place awhile back. The Mongolian beef over rice is amazing, spicy, flavorful, and the perfect mix of veggies + meat. There was one time where I thought this dish was made extra spicy, I usually love spicy food but it was a lot even for me.   Service and staff are both good here. I usually get my food in 5-10min and staff is polite and may even make a joke with you! There is a restroom for customers, it's always clean and well maintained. Plenty of tables spread throughout as well. They also have bottles on hand sanitizer at each table as well which I think is great addition. Overall a great place for pho in fidi and I will definitely be back to try more of their menu","*Service and staff are both good here *I usually get my food in 5-10min and staff is polite and may even make a joke with you! *restroom for customers, always clean and well maintained.","* Good service and polite staff * Quick service, food received within 5-10 minutes * Clean and well-maintained customer restroom available", , 
1,"A good option for Asian food in FiDi area. I came here for a hot bowl of pho. The pho (rice) noodle is not exactly the original noodle but the broth and all the beef and beef balls were great and original. They are pretty busy during lunch time on weekdays for all the takeout and delivery orders so plan beforehand, either arrive there early or out an order online if you want to take out. They also do catering for companies in the area if you're wondering. Great spot for a quick lunch if you work in FiDi area.",*They are pretty busy during lunch time on weekdays for all the takeout and delivery orders so plan beforehand *Great spot for a quick lunch if you work in FiDi area.,* Busy during weekday lunch times for takeout and delivery orders * Convenient for a quick lunch if working in the FiDi area., , 
2,"Waited for my food for 30 min and it was meal pal. Everyone after me kept getting their food. Everytime I tried to ask she said she'd call my order and was brushing me off, just as I thought my order was never put in and she gave away all the meal pals to other people who arrived after me.",*Waited for my food for 30 min *Everytime I tried to ask she said she'd call my order and was brushing me off *she gave away all the meal pals to other people who arrived after me.,* Waited for 30 minutes for food * Staff member was unresponsive and gave away meal orders to other customers, , 
3,Overpriced BS! I ordered a lunch combo of rice and sweet and sour chicken and it was 18$ for majority rice and a little bit of of the actual chicken. I've never been so mad about the price of food before. The menu says 14$ I basically paid for overpriced white rice. I rather eat Panda Express.,No relevant information found., , , 
4,"Been a couple of times and had different soups. Food was decent, quick and you can tell It's the go to spot- where they know peoples orders!",*quick service *know peoples orders,* Quick service * Knowledgeable about customers' orders, , 
5,Food was good (not great) but the portion was rather small and to pay $17 for a small rice plate seemed not worth it. You'd think that a rice plate would be an economical lunch option but not here. Disappointed but fed.,No relevant information found., , , 
6,"I got a beef scrambled egg and what a disappointment. Not only is it not good, but the portion is really small. Paid 17 something for a kids size lunch. Never going again...",No relevant information found., , , 
7,Great place for lunch when you're craving something different in FiDi with reasonable prices. Lunch items are great and great Pho on chilly days.,No relevant information found., , , 
8,So I'm going to give them 4 stars because they really do have good food and the owners are nice every time we get food from them. But to be honest the last few times has been hit or miss and I don't get why when they have the same guy cooking every single day. In all honesty I don't usually eat Chinese food because I don't trust it but this place also has fresh oil free food that can be healthy for you. I just need them to stay consistent with how their food tastes.,No relevant information found., , , 
9,"These guys saved my life! And I'm not making an understatement or overstatement. I had to pull over because something went terribly wrong, I instantly got a splitting headache that cost me to pull off the freeway and then I started becoming extremely nauseous I was roaming downtown and nothing was open everything was boarded up you know because the Covid thing. Wen Was super friendly saw my condition and made sure I had amazing food and he even threw in a free drink for me. Let's just say you didn't make me eat outside. By this time I was blocks away from my car. I feel better I feel more alive after eating such amazing food!! Thank you from the bottom of my heart!",*Wen Was super friendly *made sure I had amazing food *threw in a free drink for me,* Wen was super friendly * Ensured amazing food * Gave a free drink, , 
