,Reviews,Relevant Content,Replies,Comments,Summary
0,"Working late hours at an urgent care vet in Palo Alto, and always being in the mood for Jack in the Box, I decided to order from this specific location since it's on my way home. Best decision I ever made.  They made it so easy for me to order my food through the app, and they have a drive-thru pick up option which I definitely utilized. Once I was ready to leave work, I just pressed a button in the app and my order was sent to the restaurant to be started. Once I arrived at the drive-thru I told them my name and that I had an order for pick up to which I was ushered right up to the window. The app had automatically charged my card while I was driving over: HOW CONVENIENT IS THAT! So all I had to do was wait for my food. I was immediately given my drinks and only had to wait an extra 2-3 minutes since I had ordered quite a few chicken nuggets before I was given my order in its entirety.  My food was hot, fresh, and absolutely perfect. The night team made it so easy for me to order before leaving work and being able to just use the drive-thru and never have to leave my car. I also had an in-app coupon for a free order of mini churros, and I'm so glad I used it because they're my new favorite thing. Definitely using the Palo Alto Jack in the Box more often for when I'm hungry after late night urgent care emergencies!",*They made it so easy for me to order my food through the app *they have a drive-thru pick up option which I definitely utilized *I was immediately given my drinks and only had to wait an extra 2-3 minutes *The night team made it so easy for me to order before leaving work and being able to just use the drive-thru and never have to leave my car.,* Easy ordering through the app * Drive-thru pick up option available * Prompt service with a wait time of only 2-3 minutes * Convenient for customers who prefer not to leave their car, , 
1,"Wow. That was pretty bad. I know people don't go to yelp for fast food reviews but I should have looking at the other ones. Stopped here for breakfast and the hash brown was cold and way over cooked. The breakfast sandwich was a joke and the whole thing was $8.50. The whole interior is very bland and the table was dirty. You can expect a certain amount of quality, good and bad, from a fast food chain but this one is definitely missing the mark",No relevant information found., , , 
2,"Cold fries, flavorless burger, it was very sad. The bag even says crispy fries, nope.",No relevant information found., , , 
3,"I just order food from them and called in as soon as I received mi order because I was missing 90% of mi order and when I called to let them know that I would like a refund or even the rest of mi meals that I did not receive , the worker didn't know what to do and she claimed that she would call me back  , however never did . Talk about the worst Jack in the Box ever . I highly suggest the management of this Jack in the box train there employees more professional or get new ones .","*I was missing 90% of mi order *the worker didn't know what to do and she claimed that she would call me back, however never did *I highly suggest the management of this Jack in the box train there employees more professional or get new ones.",* Missing 90% of order * Worker was unable to resolve the issue and did not follow up as promised * Suggestion for improved employee training or new hires, , 
4,"Service is rarely good there, which I understand, and they seem to have a high turnover rate, which I also understand. But the sodas are always flat and watered-down and the food isn't always fresh.",*Service is rarely good there *seem to have a high turnover rate *sodas are always flat and watered-down,* Poor service quality * High employee turnover rate * Flat and watered-down sodas, , 
5,I always go to the drive thur and everytime i do they always forget something with my order and there is a girl that works the drive thur who is always rude and has a attitude and when you odrer they will give you your drinks and then have you pull over to the side and bring your order out to you,*they always forget something with my order *girl that works the drive thur who is always rude and has an attitude *have you pull over to the side and bring your order out to you,* Frequently forget items in order * Drive thru staff is rude and has an attitude * Ask customers to pull over and bring their order to them, , 
6,"I'm giving this place five stars because the employees are lovely -- super friendly. But I hate myself every time I go here because the food is so unhealthy and not worth my clogged arteries. Except for maybe the tacos ... that stuff is irresistible.  I got the Jumbo Breakfast Platter once and felt horrible the rest of the day. The hash browns were soggy, pancakes tasted like plastic, and the bacon was limp.",*the employees are lovely -- super friendly.,* Employees are lovely and super friendly, , 
7,"This spot is rediculious to DoorDash some food from here. The fries were hard and cold , witch makes me think they have been sitting in there for a while. My spicy chicken was missing the patty... my large fries was half the portion..  I waiting 35 min for this and look at the outcome!!!",No relevant information found., , , 
8,\,No relevant information found., , , 
9,"Alright, listen up.  I'm out at night, and I'm lookin for some quick grub.  Jack in the box sounds good, I want a burger.  Usually you can get some pretty solid food by telling a burger joint you want a hamburger.  At jack in the box, this was not the case.  An order of a standard jack in the box \",No relevant information found., , , 
10,Worse Jack In The Box Poor Service Very Bad Quality Food Don't Recommend At All Needs Better Employees.Need to Double Check The Order Is Right Or Else You'll Leave With Other Meals You Didn't Order Very Unprofessional Place.,*Poor Service *Needs Better Employees *Very Unprofessional Place.,* Poor service * Unprofessional environment * Requires better employees, , 
11,"so amazing at 2am, the customer service is on par with a michelin star restaurant. it can't get any better than this",*the customer service is on par with a michelin star restaurant.,* Customer service is exceptional (comparable to Michelin star restaurant), , 
12,Ordered breakfast croissant with sausage and ham. The bread is shaped like a croissant and it's not flaky. The texture is just like a bread. Expensive for a breakfast sandwich. It's almost $5/ea and combo cost $7. Burger King still has the best and affordable breakfast croissant.,No relevant information found., , , 
13,My new fancy Verizon Irritating Phone 'The Coupons App' told me that Jack In the Box was having a special buy one 'Buttery Burgers' and get one free.   After working out at the Equinox Gym down the street I really did not want to cook on a Friday night and was really hungry. So I was up for two burgers to go and a cold beer when I got home.  The first thing I asked if they were participating in the buy one get one free Buttery Burger offer as I have been burned by independent purveyors that buck the corporate offers like the Los Altos Round Table Pizza that would not honor the free personal pizza with the San Jose Sharks 'Four in the net free Pizza You Get.'  Once I knew they did offer the buy one get one free Buttery Burger the only downside was she kept pushing the Portobello Mushroom Buttery Jack which I see is no longer on the menu and probably the most inexpensive and most profit margin. One star off for that.   The lady that took my order was very nice considering she had to deal with the hungry general public all night long. She appeared to be one of those few genuine people that really enjoyed her job. The kind the undercover boss would want to reward.  Tried the Classic Buttery Jack and the Bacon Swill Buttery Jack and reheated them in the oven while I got my cold beer!  Great service (other than the upsell for the Portobello Mushroom Buttery Burger) for a Friday evening.  One of the downsides of this location is you can only make a right turn out of their location which can be a challenge if you want to go back northbound on El Camino Real.,*The lady that took my order was very nice *Great service (other than the upsell for the Portobello Mushroom Buttery Burger) for a Friday evening.,* Friendly customer service * Good service on a busy Friday evening (except for upselling), , 
