,Reviews,Relevant Content,Replies,Comments,Summary
0,"Came with friends for Friday dinner and were seated immediately. The interior is nice and warm, and felt comfortable. Menu price range is generally typical for downtown Palo Alto. However, note that the entree orders don't come with rice, and a bowl of white rice or brown rice costs $2.75 which felt rather high especially as other restaurants often include rice along with the dish.  Food came out quickly. The flavors of our dishes were pretty good. However, I was a bit underwhelmed by the Eggplant with Spicy Sauce, which turned out to be mostly mushrooms, onions, and bell peppers with only a few pieces of eggplant. We did quite like the taste of the yellow curry though, and I've also enjoyed their green curry when having it in the past.",No relevant information found., , , 
1,"Came here on a Friday night in a group of 6, and was seated immediately.   We ordered a large sample off the menu, here were the highlights:  - Pineapple fried rice: very tasty. Rice is cooked perfectly, each grain holds up on its own, and the flavors and pineapple add a nice spicy sweetness.  - Shaken beef: Portion size is a bit smaller, but the flavor and texture of the beef is top tier.  - Roti and Curry sauce: who doesn't like super crispy bread with flavorful dipping sauces!? Must get as an appetizer.  - Tapioca and Fresh Mango: you gotta end with this one! So warm and comforting, but not overly sweet. Of course only makes sense if mangos are in season.   I also tried the yellow curry chicken with mango, but I think the mango in the curry dish added too much sweetness and didn't help brighten the flavor like I'd hoped. But maybe their regular curries are good.   Service was great as well. We were making quite a lot of requests to our servers and they fulfilled everything very timely.","*Came here on a Friday night in a group of 6, and was seated immediately. *Service was great as well. *We were making quite a lot of requests to our servers and they fulfilled everything very timely.",* Seated immediately on Friday night in a group of 6 * Great service * Prompt fulfillment of requests made to servers, , 
2,"My husband and I were actually supposed to eat somewhere else, but we stumbled upon this restaurant instead! The cocktails we ordered were very tasty and refreshing. Since I have a peanut allergy, our server was very kind and was able to accommodate me by ensuring peanuts on the Pad Thai would be on the side. When it came to the Satay Chicken, the chicken itself had so much flavor that I was ok with being unable to have the peanut sauce. It paired really well with the cucumber salad it was served with. I really don't think this place deserves anything below 4-5 stars. It's a bit on the pricier side, but the portions are generous and you truly get what you pay for. I'd love to come again and try the other items on their menu.",*our server was very kind and was able to accommodate me by ensuring peanuts on the Pad Thai would be on the side.,* Kind server who accommodated customer's request * Peanuts on Pad Thai served on the side as requested, , 
3,"This place was recommended through a friend, to say the least I was very impressed with the quality of the food as well as the alcoholic beverages.  The service my table received was good which made the experience here a 10/10 for me.",*The service my table received was good.,* Good table service, , 
4,"What a wonderful place. Food is amazing. Service is so courteous and thoughtful. I always have amazing time when I come here. It a romantic date or a family dinner, Thaiphoon is always a great place to spend an evening and have a delicious meal. My friend and I are vegetarians and they are also very happy to accommodate us in our needs. Cannot recommend this place enough.",*Service is so courteous and thoughtful *they are also very happy to accommodate us in our needs.,* Courteous and thoughtful service * Willingness to accommodate customers' needs, , 
5,"Overall:  Solid. One element of each dish was slightly over-cooked and/or missing. Would get them both again to give them another shot.   Lemongrass Chicken (3/5): Really good flavor.  Chicken slightly over-cooked, making it chewy.   Pad See Ew (3/5): Same as above. Good  flavor, noodles a bit over-cooked. Lacking adequate sauce.",No relevant information found., , , 
6,"Delicious spicy noodles, Thai tea, and my absolute fave...the coconut sticky rice and mango",No relevant information found., , , 
7,"We came on an early Wednesday evening and there was no wait. Service was super friendly and attentive. We had the pad Thai, pad see ew, house fried rice, roti with dipping sauce and mango sticky rice for dessert. Everything was excellent! Cute little front patio and extra seating outdoor.",*Service was super friendly and attentive.,* Super friendly and attentive service, , 
8,Definitely love this place! Great service! Love the food! Food is fresh! Gotta try the chicken wings! They melt in your mouth. Yummy!,*Great service!,* Great service, , 
9,"Food is average, they are understaffed and get super busy, leading to long wait times. Overall not worth it","*they are understaffed and get super busy, leading to long wait times.",* Understaffed * Long wait times due to being busy, , 
10,The service was great and the food is mediocre for Thai food. The shrimp pad Thai was sweet and the noodles were thin like angel hair which I am not used to. I liked my crispy tofu with cashews and the mango sticky rice was good. I really enjoyed the tapioca pudding for dessert.,*the service was great,* Great service, , 
