,Reviews,Replies,Summary
0,"Parking: cramped and crowded. The plaza is very busy so cars are constantly coming in and out. It's in the same plaza as Duc Huong, which gets plenty of customers coming and going.   Front: they have a big banner over the door with their name on it. Can't miss it.   Inside: one line towards the register. It looks like they used to do indoor dining but all the tables are blocked off. Their dim sum items are displayed in glass so it's nice to see what they have. Menu is hung high on the wall. They still have their barriers up which is fine with me.   Service: I haven't been to one of these places in a while so getting yelled at by the Auntie was very nostalgic. I didn't take it personally and no one else should. The uncle was much nicer when he was helping me with the roast duck and pork ears. I do wish the pork ears were sliced thinner but guess no one really has time for that. The Auntie speaks at least three languages: English, Cantonese and Vietnamese.   Food: I would say better than average. Their shumai was huge as were most other items. I ordered quite a few items and everything tasted good. It satisfied the dim sum craving. I am pretty sensitive to overly salty food but eating this, I was fine.   Price: average pricing  Overall, I will definitely be back.   (Ok so the reason why I got yelled at was because  I asked to see the itemized receipt 15 minutes after I had already paid and left. I was waiting for my Duc Huong order and I wasn't able to calculate why my order came out to $63. I thought I got half a duck but it turned out, I got a whole duck, which was what I ordered but I also saw half a duck get hung back up when I was ordering so I got confused. The uncle that helped me remembered that I spoke Chinese so he reminded the Auntie when she was shit talking about me in Chinese. It was pretty funny, I didn't take it personally and I still got what I wanted, the itemized receipt. I checked the boxes when I got back to the car and I did indeed get a whole duck.)",Bullet points= - Large shumai and other items. - Good taste for all ordered items. - Satisfies dim sum craving. - Not overly salty.,"Positive reviews for HK Dim Sum often highlight the large variety of dim sum options available, including satisfying dim sum dishes, large shumai, and flavorful barbecue and roast meats. Customers appreciate the restaurant's budget-friendly prices and the good taste of the food overall, noting that the dim sum items can satisfy cravings. Standout items mentioned include the roast pork, roast duck, and juicy meats. Some reviews also mentioned their favorites, such as the preserved egg porridge with pork, thick-skinned shrimp dumplings, and beef noodle rolls. The quality of the food is often described as consistent, with a decent selection of dim sum and good flavors. However, negative points were also noted in some reviews. These include dishes with a lack of flavor, bad or old ingredients, and an inappropriate thickness in some items. Some customers experienced inconsistency in the quality of specific dishes, such as egg tarts and shumai. There were also mentions of overly greasy food, oily shrimp balls, and heavy, dense chive dumplings. Additionally, some customers had issues with the food being served cold or incorrect orders being delivered."
1,"This place is horrible!  Ordered some items on doordash... Cocktail buns - never got them, they substituted with more hot dog buns instead of contacting me or refunding me! Hot dog buns - there was only half a hot dog in the bun so it's 90% bread. This is the first time I've seen a hot dog bun where the hot dog wasn't whole! I get times are hard but what the....  Fried Taro with shrimp/pork - I threw this out, it smelled like ammonia :( which means they either started with pork or shrimp that went bad or they refried and served me old food? Either way I actually had taken a couple of bites of this before noticing it was off? Got a stomach ache a few hours later. Har Gow - only thing that was OK. It gets 1 star for this.   TLDR - SKIP, old rotten food, they're totally skimping! Go anywhere else.",Bullet points= - Hot dog buns mostly bread. - Fried Taro with shrimp/pork smelled like ammonia. - Possible bad or old ingredients. - Har Gow was acceptable.,"Positive reviews for HK Dim Sum often highlight the large variety of dim sum options available, including satisfying dim sum dishes, large shumai, and flavorful barbecue and roast meats. Customers appreciate the restaurant's budget-friendly prices and the good taste of the food overall, noting that the dim sum items can satisfy cravings. Standout items mentioned include the roast pork, roast duck, and juicy meats. Some reviews also mentioned their favorites, such as the preserved egg porridge with pork, thick-skinned shrimp dumplings, and beef noodle rolls. The quality of the food is often described as consistent, with a decent selection of dim sum and good flavors. However, negative points were also noted in some reviews. These include dishes with a lack of flavor, bad or old ingredients, and an inappropriate thickness in some items. Some customers experienced inconsistency in the quality of specific dishes, such as egg tarts and shumai. There were also mentions of overly greasy food, oily shrimp balls, and heavy, dense chive dumplings. Additionally, some customers had issues with the food being served cold or incorrect orders being delivered."
2,Came here many times getting various items. I like their variety of dim sum to go items and they have decent bbq pork. The photos I posted are some of the common things I get when I come by here.,Bullet points= - Variety of dim sum to go items. - Decent bbq pork.,"Positive reviews for HK Dim Sum often highlight the large variety of dim sum options available, including satisfying dim sum dishes, large shumai, and flavorful barbecue and roast meats. Customers appreciate the restaurant's budget-friendly prices and the good taste of the food overall, noting that the dim sum items can satisfy cravings. Standout items mentioned include the roast pork, roast duck, and juicy meats. Some reviews also mentioned their favorites, such as the preserved egg porridge with pork, thick-skinned shrimp dumplings, and beef noodle rolls. The quality of the food is often described as consistent, with a decent selection of dim sum and good flavors. However, negative points were also noted in some reviews. These include dishes with a lack of flavor, bad or old ingredients, and an inappropriate thickness in some items. Some customers experienced inconsistency in the quality of specific dishes, such as egg tarts and shumai. There were also mentions of overly greasy food, oily shrimp balls, and heavy, dense chive dumplings. Additionally, some customers had issues with the food being served cold or incorrect orders being delivered."
3,I got so much food for what I paid! They literally STUFFED the chow mein into the container until it was packed (only $6 too!) The pan fried chive dumplings were definitely more heavy and dense than the ones I'm used to but they were still tasty. I also had to grab an egg tart for dessert because its must. It was huge! I only took off a star because everything seemed a little extra greasy. But the flavor was there and I definitely recommend this spot if you're craving dimsum on a budget.,"Bullet points= - Packed chow mein container. - Heavy and dense chive dumplings, still tasty. - Must-try egg tart dessert, large size. - Slightly greasy food. - Good flavor, budget-friendly dim sum recommendation.","Positive reviews for HK Dim Sum often highlight the large variety of dim sum options available, including satisfying dim sum dishes, large shumai, and flavorful barbecue and roast meats. Customers appreciate the restaurant's budget-friendly prices and the good taste of the food overall, noting that the dim sum items can satisfy cravings. Standout items mentioned include the roast pork, roast duck, and juicy meats. Some reviews also mentioned their favorites, such as the preserved egg porridge with pork, thick-skinned shrimp dumplings, and beef noodle rolls. The quality of the food is often described as consistent, with a decent selection of dim sum and good flavors. However, negative points were also noted in some reviews. These include dishes with a lack of flavor, bad or old ingredients, and an inappropriate thickness in some items. Some customers experienced inconsistency in the quality of specific dishes, such as egg tarts and shumai. There were also mentions of overly greasy food, oily shrimp balls, and heavy, dense chive dumplings. Additionally, some customers had issues with the food being served cold or incorrect orders being delivered."
4,This satisfied my dim sum fix. Not the best but still pretty tasty. Each dim sum piece is hearty. The beef noodle roll was a sub for the prawn one but texture was still good.  I'd order again if I don't have time to go into a restaurant.,"Bullet points= - Satisfactory dim sum. - Not the best, but tasty. - Hearty dim sum pieces. - Beef noodle roll with good texture.","Positive reviews for HK Dim Sum often highlight the large variety of dim sum options available, including satisfying dim sum dishes, large shumai, and flavorful barbecue and roast meats. Customers appreciate the restaurant's budget-friendly prices and the good taste of the food overall, noting that the dim sum items can satisfy cravings. Standout items mentioned include the roast pork, roast duck, and juicy meats. Some reviews also mentioned their favorites, such as the preserved egg porridge with pork, thick-skinned shrimp dumplings, and beef noodle rolls. The quality of the food is often described as consistent, with a decent selection of dim sum and good flavors. However, negative points were also noted in some reviews. These include dishes with a lack of flavor, bad or old ingredients, and an inappropriate thickness in some items. Some customers experienced inconsistency in the quality of specific dishes, such as egg tarts and shumai. There were also mentions of overly greasy food, oily shrimp balls, and heavy, dense chive dumplings. Additionally, some customers had issues with the food being served cold or incorrect orders being delivered."
5,"This place always seems to satisfy my emergency dim sum cravings! It definitely isnt the best nor do they have the greatest service but they have your regular fixings up until late afternoon!  The siu mai/har gow are large and hearty. Ok in flavor!  The fried items are only good when fresh. I tried random assortments at random times of the day & here is my take. the chinese donuts were quite hard and stale so I do not recommend. The shrimp ball is very large but a little too oily for my liking. Taro ball was ok, lacked flavor. & the turnip cake was almost all cake barely any other texture or flavor but very large. Sesame ball also ok!   They also have combo meals which i thought was very cool! The congee it comes with is not bad either.   They give you packet sauces 2 in 1 combo for to go orders. Labeled for Mandu! So it definitely has a different taste to it, but the chili oil is good and has a neutral flavor  Also have a $15 minimum on card.   All in all it isnt the best, cheapest, or tastiest. But when I get a random craving I seem to always find myself here bc of the variety and convenience.","Bullet points= - Siu mai/har gow: large, hearty, ok flavor. - Fried items: good when fresh. - Chinese donuts: hard, stale. - Shrimp ball: large, too oily. - Taro ball: ok, lacks flavor. - Turnip cake: mostly cake, little texture/flavor, large. - Sesame ball: ok. - Congee: not bad. - Packet sauces: 2 in 1 combo for to-go orders. - Chili oil: good, neutral flavor.","Positive reviews for HK Dim Sum often highlight the large variety of dim sum options available, including satisfying dim sum dishes, large shumai, and flavorful barbecue and roast meats. Customers appreciate the restaurant's budget-friendly prices and the good taste of the food overall, noting that the dim sum items can satisfy cravings. Standout items mentioned include the roast pork, roast duck, and juicy meats. Some reviews also mentioned their favorites, such as the preserved egg porridge with pork, thick-skinned shrimp dumplings, and beef noodle rolls. The quality of the food is often described as consistent, with a decent selection of dim sum and good flavors. However, negative points were also noted in some reviews. These include dishes with a lack of flavor, bad or old ingredients, and an inappropriate thickness in some items. Some customers experienced inconsistency in the quality of specific dishes, such as egg tarts and shumai. There were also mentions of overly greasy food, oily shrimp balls, and heavy, dense chive dumplings. Additionally, some customers had issues with the food being served cold or incorrect orders being delivered."
6,"This review is for take-out only. I've ordered delivery from here through DoorDash multiple times and I've been very satisfied with the food each time. The prices are reasonable, the lunch specials are a great deal for a lot of food, and the food has been very good each time I've ordered.   I've been particularly impressed with their barbecue and roast meats. Their meats are much more flavorful and juicy compared to other local take-out dim sum places I've tried. The roast pork and roast duck have been good. The rice rolls are less dense than other places I've tried. Porridges are flavorful and other dim sum items I've tried generally have been delicious.  I consider this my go-to for take-out dim sum, as the food is significantly better compared to other local take-out dim sum places I've tried and the prices are reasonable.","Bullet points= - Very satisfied with food. - Impressed with barbecue and roast meats. - Flavorful and juicy meats. - Good roast pork and roast duck. - Less dense rice rolls. - Flavorful porridges. - Delicious dim sum items. - Better food, reasonable prices.","Positive reviews for HK Dim Sum often highlight the large variety of dim sum options available, including satisfying dim sum dishes, large shumai, and flavorful barbecue and roast meats. Customers appreciate the restaurant's budget-friendly prices and the good taste of the food overall, noting that the dim sum items can satisfy cravings. Standout items mentioned include the roast pork, roast duck, and juicy meats. Some reviews also mentioned their favorites, such as the preserved egg porridge with pork, thick-skinned shrimp dumplings, and beef noodle rolls. The quality of the food is often described as consistent, with a decent selection of dim sum and good flavors. However, negative points were also noted in some reviews. These include dishes with a lack of flavor, bad or old ingredients, and an inappropriate thickness in some items. Some customers experienced inconsistency in the quality of specific dishes, such as egg tarts and shumai. There were also mentions of overly greasy food, oily shrimp balls, and heavy, dense chive dumplings. Additionally, some customers had issues with the food being served cold or incorrect orders being delivered."
7,"I don't have to go to Ranch 99 for BBQ meats anymore!  Only thing I dislike is the parking and the area but they accept Visa/MC, offer succulent BBQ pork and roast pork and a limited selections of dim sum such as har gow, shiu mai, rice roll, steamed buns.. all satisfied my stressful Saturday.    I did not take photos of the dim sum because I ate it as soon as I got home but the meats I used it to pray and enjoyed after.  I would have stopped by but I thought it was a cash only establishment.","Bullet points= - Accepts Visa/MC. - Offers succulent BBQ and roast pork. - Limited dim sum selection: har gow, shiu mai, rice roll, steamed buns. - Satisfies stressful Saturday.","Positive reviews for HK Dim Sum often highlight the large variety of dim sum options available, including satisfying dim sum dishes, large shumai, and flavorful barbecue and roast meats. Customers appreciate the restaurant's budget-friendly prices and the good taste of the food overall, noting that the dim sum items can satisfy cravings. Standout items mentioned include the roast pork, roast duck, and juicy meats. Some reviews also mentioned their favorites, such as the preserved egg porridge with pork, thick-skinned shrimp dumplings, and beef noodle rolls. The quality of the food is often described as consistent, with a decent selection of dim sum and good flavors. However, negative points were also noted in some reviews. These include dishes with a lack of flavor, bad or old ingredients, and an inappropriate thickness in some items. Some customers experienced inconsistency in the quality of specific dishes, such as egg tarts and shumai. There were also mentions of overly greasy food, oily shrimp balls, and heavy, dense chive dumplings. Additionally, some customers had issues with the food being served cold or incorrect orders being delivered."
8,"Dynasty didn't open until 11 am and I was craving dim sum at 10. My daughter and I were really hungry so we came here to grab some to go. Everything was horrible and a waste of money. Lack of flavor, thickness in some items where it shouldn't be as thick. Peanuts added into certain dishes that do not normally have peanuts was weird. I wanted this to be a small mom and pop shop where I can get my favorite dim sum dishes to go... sadly it wasn't close to anything I've had before.",Bullet points= - Horrible experience and waste of money. - Lack of flavor in dishes. - Inappropriate thickness in some items. - Unusual addition of peanuts to certain dishes.,"Positive reviews for HK Dim Sum often highlight the large variety of dim sum options available, including satisfying dim sum dishes, large shumai, and flavorful barbecue and roast meats. Customers appreciate the restaurant's budget-friendly prices and the good taste of the food overall, noting that the dim sum items can satisfy cravings. Standout items mentioned include the roast pork, roast duck, and juicy meats. Some reviews also mentioned their favorites, such as the preserved egg porridge with pork, thick-skinned shrimp dumplings, and beef noodle rolls. The quality of the food is often described as consistent, with a decent selection of dim sum and good flavors. However, negative points were also noted in some reviews. These include dishes with a lack of flavor, bad or old ingredients, and an inappropriate thickness in some items. Some customers experienced inconsistency in the quality of specific dishes, such as egg tarts and shumai. There were also mentions of overly greasy food, oily shrimp balls, and heavy, dense chive dumplings. Additionally, some customers had issues with the food being served cold or incorrect orders being delivered."
9,"Price is really decent and food are tasty. I love duck and char xiu, roasted pork which are so juicy and fresh. I love all the dimsum option","Bullet points= - Decent prices for tasty food. - Duck, char xiu, and roasted pork are juicy and fresh. - Wide variety of dim sum options.","Positive reviews for HK Dim Sum often highlight the large variety of dim sum options available, including satisfying dim sum dishes, large shumai, and flavorful barbecue and roast meats. Customers appreciate the restaurant's budget-friendly prices and the good taste of the food overall, noting that the dim sum items can satisfy cravings. Standout items mentioned include the roast pork, roast duck, and juicy meats. Some reviews also mentioned their favorites, such as the preserved egg porridge with pork, thick-skinned shrimp dumplings, and beef noodle rolls. The quality of the food is often described as consistent, with a decent selection of dim sum and good flavors. However, negative points were also noted in some reviews. These include dishes with a lack of flavor, bad or old ingredients, and an inappropriate thickness in some items. Some customers experienced inconsistency in the quality of specific dishes, such as egg tarts and shumai. There were also mentions of overly greasy food, oily shrimp balls, and heavy, dense chive dumplings. Additionally, some customers had issues with the food being served cold or incorrect orders being delivered."
10,My family was craving dim sum the other day but it was raining really heavy so my bf ordered through door dash. The dim sum here is huge! If we had known we would've placed only 1 order of everything. But we ordered doubled on our favorites and the Shu mai are the size of golf balls. My son's favorite was the thousand year old preserve egg porridge with pork!,Bullet points= - Huge dim sum selection. - Large Shu mai (golf ball-sized). - Son's favorite: preserved egg porridge with pork.,"Positive reviews for HK Dim Sum often highlight the large variety of dim sum options available, including satisfying dim sum dishes, large shumai, and flavorful barbecue and roast meats. Customers appreciate the restaurant's budget-friendly prices and the good taste of the food overall, noting that the dim sum items can satisfy cravings. Standout items mentioned include the roast pork, roast duck, and juicy meats. Some reviews also mentioned their favorites, such as the preserved egg porridge with pork, thick-skinned shrimp dumplings, and beef noodle rolls. The quality of the food is often described as consistent, with a decent selection of dim sum and good flavors. However, negative points were also noted in some reviews. These include dishes with a lack of flavor, bad or old ingredients, and an inappropriate thickness in some items. Some customers experienced inconsistency in the quality of specific dishes, such as egg tarts and shumai. There were also mentions of overly greasy food, oily shrimp balls, and heavy, dense chive dumplings. Additionally, some customers had issues with the food being served cold or incorrect orders being delivered."
