,Reviews,Replies
0,Brittany and Nicole were so kind to us and took excellent care of us preparing our delicious pizzas Thanks and blessings  Mel & Frieda, 
1,"I was craving a salad for lunch and decided to order from MOD pizza. I'm sure a pizza place isn't the first thing that comes to your mind when you're craving a salad, but trust me! This place is amazing.  I left a review a month ago but they changed their salad container to a much larger one! Figured that was worth an updated review. The new containers are huge and they give you two dressings now. It's fully loaded too and not just lettuce. So happy they made this change!", 
2,"Convenient spot for me, next to Habit Burger and just across from Pruneyard. They offer points in their app and have rewards from time to time, which makes it a better deal. There's always someone new working when I go here but haven't had an issue with my pizza. It can get busy around dinner time but they move pretty quickly. Good size parking lot and tons of tables inside.",Bullet points: - Offers points in their app. - Rewards available from time to time. - Makes it a better deal.
3,"I absolutely love this MOD pizza location. They're friendly, considerate, clean, and have great food quality. They never complain about how many toppings I ask for...they just make sure we're taken care of. They are not only kind with their customers, but with their coworkers as well. It's just a nice atmosphere overall plus amazing food!", 
4,"Came here after door dash delivered the wrong order to my house and there were grossly understaffed.  It took 35 minutes to order, online orders come before people in line.  My daughters pizza was burnt, they did offer to remake it but we felt too guilty with how understaffed they were to take the offer.  I will order online from now on now that I know you can skip the line that way.  They ran out of a ton of toppings and had to keep restocking when they were busy,", 
5,"I love going to MOD Pizza with all their toppings you can get galore with one set price! They even have a vegan cheese with some vegan sausage options too!! I was more shocked that they had a new dessert for the season!! Granted I am now gluten-free, I can't eat it but goodness it looks delicious! I wish they had a gluten-free dessert, but I know that would be another specialty item. I'm happy they have a great cauliflower crust that is almost bowl shaped and holds in all of my vegetables I get on my pizza! I will definitely be back later this week!!",Bullet points: - MOD Pizza has a set price for all toppings. - The user loves going to MOD Pizza.
6,"The 5 stars are for the two people that stood out to me during my last trip to Mod Pizza in Campbell (on 4/2/23).  There was a tall, Caucasian gentleman with glasses who made me the best pizza ever (honestly, I rarely eat at Mod but this pizza was great, toppings were good, cooked just right).  Then there was another, shorter Caucasian gentleman with piercing blue eyes, the sweetest smile and a blue bandana wrapped around his head.  As my daughter and I ate our pizza we became aware that the manager (seemed like a manager?) was sitting next to us and writing these workers up.  I was really sad and almost said something.  First of all I am wondering why the manager did this in front of customers, for all of us very clearly to hear.  He was explaining to the taller guy that he used too many toppings and that it was not good for the business. He told him he had to sign the write up, and the man seemed confused and ended up signing.  Just FYI, and I was telling my daughter this too because I want this to be a lesson to her.  Good managers respect their workers and build them up.  There was no \", 
7,Pizza was uncooked. Upset had higher expectations considering all the good reviews. Domino's would gave been better, 
8,"Whenever I visit my family on this side of the bay area, and we feel like pizza, we all enjoy going to this restaurant. The servings are made exactly for you, with the options to have something smaller or larger. They are fast, efficient, and quite humorous in the way that they communicate with one another. I love that they have plant-based options which include alternative cheese, and plant-based sausages. They have a wide array of drinks from the fountain or bottle and canned. If you are on this side of the bay area and you were looking for pizza but you don't wanna pay for anything cheap and you don't want to pay for more than you're going to eat in one sitting, consider this establishment. Fresh ingredients, fresh dough, fresh take on an American favorite.",Bullet points: - Affordable pizza restaurant in the bay area. - Portions are reasonable and not too large. - Good option for those who want to avoid cheap food.
9,This place is so filthy!!! I came on a Sunday night. 7:28pm august 7th 2022 and everything was just so gross. First time at this location and always go to the one on cherry. I didn't want to take pics of the employees while they made the pizza but it was soooo dirty where all the toppings are and the floor had food all over. Definitely won't be coming back to this location., 
