Relevant Content,Summary
No relevant information found., 
No relevant information found., 
"*food takes awhile to come out when they're busy 
*One area of improvement was how to flow customers against employees bringing out food 
*awkward fashion for both parties"," There are mixed sentiments regarding the service at Kantine. Some reviews have praised the service, describing it as amazing, with friendly staff and a very casual vibe. On the other hand, there were some complaints about the service, such as slow food delivery during busy periods, long wait times, and awkward customer-employee interactions. Some also experienced delays and a ruined mood due to the wait times. However, the ordering process is relatively simple and there are indoor and outdoor seating options available. It is recommended for casual breakfast/brunch, and although the service is similar to a cafe/food court, Kantine still offers table service. On crowded Saturdays, it can get chaotic and one suggestion was to have one person scout for seats while the other orders. Overall, there are some mixed sentiments about the service, but it seems that the staff is friendly."
"*You order at the counter 
*can sit inside or outside 
*Overall a fun unique brunch experience!",
*Service was very fast.,
No relevant information found.,
No relevant information found.,
*Amazing service though!,
No relevant information found.,
*The vibe is very casual and the staff was so friendly as well.,
No relevant information found.,
No relevant information found.,
"*50min wait in line 
*the cashiers doesn't understand how to properly use the POS, point of sale. 
*Totally ruined our weekend mood 
*another 20min for food.",
No relevant information found.,
"*It took them a long time to make the latte because it was so busy. 
*It was a little chaotic the Saturday I went because it's so crowded. 
*If you come with someone, make sure that one person scouts for seats while the other person orders.",
"*had to order first and then seat ourselves 
*there was a good amount of space available even on a Sunday. 
*Highly recommend for a casual breakfast/brunch!",
"*The service is more similar to a cafe/food court than a traditional restaurant
 *you order at the checkout counter and find an empty table, but there is still table service.",
No relevant information found.,
No relevant information found.,
*ordering process is simple at the counter,
 ,
