Relevant Content,Summary
"*Didn't really interact with the staff, but they were nice."," There are a variety of service experiences at Kizuna. The restaurant has a self-service dining experience where customers order and pay through a QR code and are expected to clean up after themselves. Some reviewers have expressed that they were dissatisfied with the mandatory 15% minimum tip and having to box their own to-go containers. However, most people appreciated the quick service and hot food. Seating can be limited and it can get busy at times, but the staff are generally friendly and efficient. There are multiple options for ordering such as QR codes on tables, ordering at the front counter, or ordering at the cashier. Some have noted a short wait time for orders and that the food was served quickly. However, there were a few complaints about wait times, including waiting almost 15 minutes to get a table. Overall, the service seems to be pleasant and efficient with some minor issues that might depend on the individual's preference."
"*Order with a QR code and clean up after yourself 
*Food comes out very quickly and is super hot 
*Have a little bit of outdoor seating as well.",
"*what service do they even provide? 
*You seat yourself, order and pay from a QR code with a mandatory 15% minimum tip, get your own water, clean up after yourself, and box your own to-go containers.",
"*quick service overall 
*You order at the front counter 
*there was one open table that we were able to snag, but things can definitely get busy at times.",
"*We were seated right away 
*received our food so quickly!",
"*QR codes on the table to get your order 
*great experience.",
No relevant information found.,
"*We were unsure where to wait as there is no waiting place inside 
*We managed to get a table after almost 15 mins of loitering uneasily near the counter and in the center of the restaurant 
*The place cleared up quickly after that and there were a lot of empty tables.",
"*Staff is always friendly and efficient 
*We dined in recently and you order first/you can sit where you want inside or outside and they will bring the food to you.",
No relevant information found.,
"*The service is always amazing 
*Everyone who works there is really friendly and efficient.",
"*ordering is done at the cashier and the food is brought out to the table 
*The staff is Japanese and speaks Japanese in the back. 
*Staff wore masks and were cordial.",
"*You first order at the counter and then take a seat either inside or outside. 
*Love that they're offering outdoor seating as well! 
*They bring you water in red solo cups (kind of funny, haha) as soon as you decide where you sit.
 *My friend and I didn't have to wait too long for our orders.",
No relevant information found.,
No relevant information found.,
*no service other than bringing you food,
No relevant information found.,
"*Just walk in and fall in-line to order 
*If you want to eat inside just let them know, usually a table opens up 
*Be cautious of their hours, they close between lunch and dinner",
*small shop run by friendly staff,
